Column_Name,Short_Description,Type,Length,Constraints
SCH_ZONE_IND,Did the crash occur in a School Zone? (Y/N),TEXT,1,Y = Yes N = No
SMALL_TRUCK_COUNT,Total amount of Small Trucks involved,NUMBER,2,
SPEC_JURIS_CD,Code that defines any special jurisdiction – only for fatal crashes,TEXT,1,See Column Code 
SUV_COUNT,Total count of sport utility vehicles involved,NUMBER,2,
TCD_FUNC_CD,Code for Traffic Control Device state,TEXT,2,See Column Code
TCD_TYPE,Code that defines the Traffic Control Device,TEXT,1,See Column Code
TFC_DETOUR_IND,Was Traffic Detoured? (Y/N),TEXT,1,"1=Y, 0 = N"
TIME_OF_DAY,The Time of Day When the Crash Occurred,TEXT,4,0000 through 2359
TOTAL_UNITS,Total count of all Vehicles and Pedestrians,NUMBER,2,
UNBELTED_OCC_COUNT,Total count of all unbelted occupants,NUMBER,2,
UNB_DEATH_COUNT,No. of people killed not wearing a seatbelt,NUMBER,2,
UNB_MAJ_INJ_COUNT,Total # of unbelted sustaining Major Injuries,NUMBER,2,
UNK_INJ_DEG_COUNT,No. of injuries with unknown severity,NUMBER,2,
UNK_INJ_PER_COUNT,No. of people that are unknown if injured,NUMBER,2,
URBAN_RURAL,Code to classify crash as Urban or Rural based on municipality,TEXT,1,"1= Rural, 2=Urbanized, 3=Urban"
VAN_COUNT,Total amount of vans involved,NUMBER,2,
VEHICLE_COUNT,Total number of all motor vehicles involved in the crash,NUMBER,2,
WEATHER,Code for the weather type at time of crash,TEXT,1,See Column Code
WK_ZONE_IND,Did the crash occur in a work zone (Y/N),TEXT,1,"1=Y, 0 = N"
WORKERS_PRES,Were construction personnel present? (Y/N),TEXT,1,"1=Y, 0 = N"
WZ_CLOSE_DETOUR,Was traffic rerouted due to work zone?(Y/N),TEXT,1,"1=Y, 0 = N"
WORK_ZONE_LOC,The Work Zone Location Code,TEXT,1,See Column Code
WORK_ZONE_TYPE,Code to define the type of Work Zone,TEXT,1,See Column Code
WZ_FLAGGER,Did Work zone have a flagman? (Y/N),TEXT,1,"1=Y, 0 = N"
WZ_LAW_OFFCR_IND,Did Work zone have a patrolman? (Y/N),TEXT,1,"1=Y, 0 = N"
WZ_LN_CLOSURE,Did Work zone have a lane closure? (Y/N),TEXT,1,"1=Y, 0 = N"
WZ_MOVING,Was there moving work in the zone? (Y/N),TEXT,1,"1=Y, 0 = N"
WZ_OTHER,Was this a special type of work zone? (Y/N),TEXT,1,"1=Y, 0 = N"
WZ_SHLDER_MDN,Was a median/shoulder in the zone? (Y/N),TEXT,1,"1=Y, 0 = N"
